gene
ABCA2
ABCC5
ABCE1
ABCG1
ABCG4
ABHD17A
ABR
ACACA
ACLY
ACO2
ACOT1
ACTA1
ACTA2
ACTB
ACTC1
ACTG1
ACTL6B
ACTN1
ACTN4
ACVR1B
ADAMTS15
ADAMTS5
ADAMTSL2
ADAR
ADARB1
ADCY1
ADCY2
ADCY3
ADCY5
ADRA2A
ADRA2C
ADRB1
ADRBK1
AFF4
AGAP2
AGAP3
AGO1
AGO2
AGO3
AHCYL1
AHDC1
AKT1
AMPD2
AMY1A
AMY1B
AMY1C
ANAPC1
ANKRD17
ANKRD34A
ANKRD52
ANO8
ANXA8
ANXA8L1
AP2A1
AP2B1
AP2M1
AP3D1
APBA1
APC2
AQR
ARC
ARFGEF1
ARGLU1
ARHGAP35
ARHGAP39
ARHGEF2
ARHGEF7
ARIH1
ASAH2
ASH1L
ASIC1
ASIC2
ATAD2B
ATP13A1
ATP1A1
ATP1A2
ATP1A3
ATP2A2
ATP2B1
ATP2B2
ATP4A
ATP6V1A
ATP9A
ATRX
AUTS2
B3GAT1
B3GNT1
B4GALNT4
BAI1
BAI2
BAZ1A
BAZ1B
BCL11A
BCL11B
BCL9L
BCR
BEND3
BHLHE22
BIRC6
BPTF
BRAF
BRD1
BRD3
BRD4
BRPF1
BRPF3
BRSK1
BRSK2
BRWD3
BTAF1
C1QTNF4
C2CD5
C3
C3orf58
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1G
CACNA1I
CACNG2
CACNG3
CACTIN
CAD
CADM4
CADPS
CAMK2A
CAMSAP3
CAND1
CAPRIN1
CARD11
CASK
CASKIN1
CASR
CBX4
CBX6
CCDC144A
CDC27
CDC73
CDK11B
CDK19
CDK5R1
CDK5R2
CDK8
CELF2
CELSR3
CENPB
CEP170
CFB
CHD2
CHD3
CHD4
CHD5
CHD6
CHD7
CHD8
CHD9
CHERP
CHRFAM7A
CHRNE
CHST1
CHST2
CHST8
CIT
CKMT1B
CLASP2
CLASRP
CLCN3
CLCN4
CLEC18A
CLEC18C
CLIP3
CLTC
CLUH
CNNM2
CNOT1
CNOT3
CNOT6L
CNTNAP1
CNTNAP3
COL1A1
COMP
COPA
CORO1A
CPEB4
CPNE9
CPSF1
CPSF6
CREBBP
CREBZF
CSK
CSMD2
CSNK1A1
CSNK1E
CSNK2A1
CSTF3
CT47A6
CT47A7
CTCF
CTNNA1
CTNNA2
CTNNB1
CTR9
CUL1
CUL3
CUL5
CUX1
CUX2
CXXC1
CYFIP1
CYFIP2
CYLD
CYP46A1
DAGLA
DAPK1
DCLK1
DDB1
DDN
DDX23
DDX39B
DDX3X
DDX41
DDX46
DEF6
DENND4B
DGKZ
DHH
DHX15
DHX16
DHX30
DHX38
DHX40
DHX8
DHX9
DICER1
DIP2C
DLG4
DLGAP1
DLGAP3
DMWD
DNM1
DNM2
DNM3
DNMT1
DNMT3A
DOCK3
DOCK4
DOPEY1
DOT1L
DROSHA
DSCAM
DSCAML1
DUX4L2
DUX4L3
DUX4L5
DUX4L6
DVL3
DYNC1H1
DYRK1A
EBF1
EBF3
EDC4
EEF1A1
EEF1A2
EEF2
EFTUD2
EGR2
EGR3
EGR4
EHMT2
EIF2S3
EIF3A
EIF3D
EIF3I
EIF4A1
EIF4A2
ELAVL1
ELMO1
EML3
EML5
EP400
EPM2AIP1
ESPL1
ETF1
EVI5L
EVX2
EZH1
EZH2
F12
FAM115A
FAM115C
FAM120C
FAM83H
FAM84B
FBN1
FBXL14
FBXL15
FBXL16
FBXL18
FBXL19
FBXO46
FEM1A
FEM1B
FEZF2
FIZ1
FLNA
FLNC
FMN2
FMNL3
FOXA1
FOXB1
FOXD4L1
FOXG1
FOXL2
FOXO3
FRY
FRYL
FSCN1
FUT4
FZD1
FZD10
FZD7
FZD8
GABBR1
GABBR2
GALR2
GATA3
GCK
GCN1L1
GDF10
GDF11
GFOD1
GFPT1
GIT1
GLG1
GLUD1
GNA11
GNAS
GNAZ
GNB1
GOLGA6L1
GP5
GPAT2
GPHN
GPR25
GPR4
GPR88
GPR89A
GPR89C
GRIA1
GRIA3
GRIK5
GRIN1
GRIN2A
GRIN2B
GRIN2D
GRM1
GRM3
GRM5
GTF2I
GTF3C1
GTF3C4
GTPBP2
HAS2
HCFC1
HCFC2
HCN1
HCN2
HCN4
HDAC3
HDLBP
HECTD1
HECTD4
HECW1
HELZ
HERC1
HERC2
HIC1
HIRA
HIST2H3A
HIST2H3C
HIVEP2
HK1
HLA-B
HLA-C
HMGCR
HMHA1
HNRNPA0
HNRNPH1
HNRNPK
HNRNPL
HNRNPR
HNRNPU
HNRNPUL1
HOXB8
HS3ST3B1
HSPA2
HSPA5
HSPA8
HTRA2
HTT
HUWE1
IFT46
IGF2BP1
IGSF9B
IK
IKZF1
IL6ST
ILF3
INA
INO80
INPP4A
INPP5D
INSR
INTS3
IPO5
IPO7
IQSEC2
IRF2BP1
IRF2BPL
IRS2
IRS4
IRX5
ITPR1
ITPR2
ITPR3
ITPRIPL2
ITSN1
JAK1
JUN
KALRN
KAT2A
KAT7
KAT8
KBTBD6
KCNA1
KCNA3
KCNA6
KCNB1
KCNC1
KCNC3
KCND3
KCNF1
KCNG1
KCNG3
KCNH2
KCNH3
KCNH5
KCNJ3
KCNJ4
KCNJ9
KCNK12
KCNK3
KCNK9
KCNMA1
KCNN1
KCNN3
KCNQ2
KCNQ4
KCNQ5
KCNT1
KCNV1
KDM1A
KDM2A
KDM2B
KDM3B
KDM5C
KDM6B
KHSRP
KIAA0100
KIAA0368
KIAA1109
KIAA1161
KIAA1468
KIF1A
KIF1B
KIF21B
KIF2A
KIF3B
KIF5A
KIF5C
KLHL11
KLHL15
KLHL36
KMT2A
KMT2B
KMT2D
KPNA6
KPNB1
KSR2
LCT
LHX1
LHX2
LHX5
LINGO1
LINGO3
LMNA
LMTK3
LPA
LPHN1
LRFN1
LRFN3
LRP1
LRP4
LRRC4B
LRRC7
LRRC73
LRRC8A
LRRN4
LTB
LTBP3
MAB21L2
MACF1
MAFB
MAP2K7
MAP3K12
MAP4K1
MAP4K4
MAPK8IP3
MARCH6
MARK2
MARK4
MAST3
MAST4
MAU2
MDC1
MED12
MED12L
MED13L
MED14
MED23
MEF2C
MEGF8
MEIS2
MEN1
METTL3
MEX3A
MEX3D
MGAT3
MIB1
MKLN1
MLLT6
MNX1
MORC2
MRC2
MROH1
MTA1
MTOR
MYCBP2
MYCN
MYH10
MYH7
MYH9
MYO18A
MYO5A
MYOD1
MYT1L
NACC1
NACC2
NAGS
NALCN
NAV1
NBEA
NBPF15
NBPF16
NCDN
NCF1
NCKAP1
NCOR1
NEFL
NEURL4
NF1
NFIX
NIPA1
NIPBL
NKPD1
NKX2-1
NLGN2
NLGN3
NLGN4X
NOA1
NOMO1
NOS1
NOTCH1
NOTCH2
NOTCH3
NOVA2
NPIPA1
NPR2
NR2F1
NR2F2
NR4A2
NR4A3
NRF1
NRXN1
NRXN2
NSD1
NSF
NTNG2
NXF2
NXF2B
NYNRIN
OGDH
OGT
ONECUT2
OPRD1
OR2A1
PABPC1
PACS1
PAK2
PANK1
PAQR9
PATZ1
PAX6
PC
PCBP1
PCDH10
PCDH11Y
PCDH17
PCDH19
PCDHGC3
PCNXL3
PCSK5
PDE2A
PDE8B
PDPK1
PDS5A
PDS5B
PDZD4
PDZD8
PHF8
PHIP
PHOX2B
PI4KA
PI4KB
PIAS1
PIK3CA
PIK3CD
PIP5K1C
PITPNM1
PITPNM2
PITX3
PLCB3
PLCB4
PLCG1
PLCL2
PLXNA1
PLXNA4
PLXNB1
PLXNC1
PLXND1
PNPLA6
POGK
POGZ
POLR2A
POLR2B
POTEB
POTED
POTEE
POU3F2
POU3F3
POU4F1
PPFIA2
PPFIA3
PPP1CA
PPP1R13L
PPP1R16B
PPP2R1A
PPP2R2C
PPP3CB
PPP4C
PRAMEF13
PRAMEF14
PRAMEF15
PRAMEF16
PRAMEF18
PRAMEF19
PRAMEF20
PRAMEF21
PRAMEF22
PRAMEF3
PRAMEF6
PRAMEF9
PRDM10
PRDM13
PRDM15
PRDM8
PRKCB
PRKCE
PRKCG
PRKD2
PRLHR
PRMT1
PROX1
PRPF6
PRPF8
PRR12
PRR20A
PRR20E
PRR21
PRRC2A
PSMC5
PSMD1
PSPC1
PTCHD2
PTGER3
PTPN20A
PTPN20B
PTPRS
PTRF
PUF60
PUM1
PURA
PXDN
QRICH1
RALGAPA1
RAPGEF2
RARA
RASGRF1
RBM10
RBM14
RBM14-RBM4
RBM15
RBM15B
RBM25
RBM38
RBM39
RBM47
RBM5
REPIN1
RERE
RHOB
RHOV
RICTOR
RNF20
ROCK1
ROCK2
RPS6KA1
RPS6KA3
RPS6KA4
RPTOR
RSBN1
RSPH10B
RSPH10B2
RTF1
RTN4RL2
RUVBL2
RXRB
RYR1
RYR2
SAFB
SAFB2
SAMD4B
SATB1
SATB2
SBK1
SCN1A
SCN2A
SCN3A
SCN5A
SCN8A
SCO2
SCUBE3
SEC61A1
SEMA3B
SEMA3F
SEMA6D
SERBP1
SETD1A
SETDB1
SF1
SF3A1
SF3B1
SF3B3
SHANK1
SHANK3
SHH
SIN3A
SIN3B
SIX3
SKOR1
SLC12A5
SLC12A6
SLC17A7
SLC32A1
SLC4A10
SLC4A8
SLC6A1
SLC7A5
SLC8A2
SLC9A6
SLCO3A1
SLIT1
SLX1A
SLX1B
SMARCA1
SMARCA2
SMARCA4
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMC1A
SMC3
SMEK1
SMG1
SMU1
SNRK
SNRNP200
SOBP
SOGA3
SOX11
SOX17
SOX2
SOX4
SOX9
SP6
SP8
SPDYE2
SPDYE2L
SPEG
SPEN
SPTAN1
SPTBN1
SPTBN2
SPTBN4
SRC
SRCAP
SRCIN1
SRF
SRGAP2
SRRT
SRSF10
SRSF2
SSTR1
STAG1
STAG2
STAT1
STAT3
STAT5A
STAT5B
STK35
STT3A
STXBP1
SULT1A3
SULT1A4
SUPT16H
SUPT5H
SUPT6H
SYMPK
SYNGAP1
SZT2
TADA2B
TAF1
TAOK1
TAOK2
TBC1D9
TBR1
TCERG1
TCF4
TCF7L2
TCHH
TECR
TENM1
TENM2
TENM3
TERT
TEX28
TFAP2A
THOC2
THOC3
THRA
TIGD5
TLE3
TLE4
TLK1
