gene
SCN2A
SYNGAP1
ADNP
FOXP1
POGZ
ARID1B
DYRK1A
SLC6A1
GRIN2B
MED13L
CHD2
ANKRD11
TLK2
DNMT3A
CTNNB1
SETD5
KCNQ3
WAC
TBL1XR1
MYT1L
BCL11A
RAI1
DYNC1H1
GABRB3
SIN3A
MBD5
STXBP1
PHF12
PPP2R5D
PRR12
ASXL3
TRIP12
CREBBP
TCF4
CACNA1E
GNAI1
TCF20
FOXP2
NSD1
TCF7L2
VEZF1
IRF2BPL
TRAF7
LRRC4C
NR3C2
NACC1
GABRB2
TAOK1
HECTD4
